epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,4930.01,1.13739,0.87803,1.38674,0.68622,0.6135,0.6731,0.34579,1.84359,1.18778,2.14194,0.0005051,0.0005051,0.0005051
153,4962.41,1.12183,0.84771,1.36787,0.62861,0.66258,0.67034,0.3346,1.86967,1.24822,2.18782,0.0004952,0.0004952,0.0004952
154,4994.77,1.14175,0.84272,1.35045,0.64691,0.60123,0.64592,0.32177,1.88587,1.28628,2.22925,0.0004853,0.0004853,0.0004853
155,5027.09,1.15538,0.85617,1.40897,0.69394,0.59815,0.6584,0.32318,1.92251,1.28614,2.26421,0.0004754,0.0004754,0.0004754
156,5059.46,1.14659,0.86871,1.39259,0.68074,0.58865,0.64642,0.32555,1.87599,1.24084,2.21184,0.0004655,0.0004655,0.0004655
157,5091.91,1.12363,0.85996,1.388,0.69901,0.58896,0.64425,0.32427,1.84649,1.2608,2.17893,0.0004556,0.0004556,0.0004556
158,5124.32,1.13249,0.81575,1.3532,0.70256,0.58896,0.67795,0.34421,1.8237,1.2137,2.17453,0.0004457,0.0004457,0.0004457
159,5156.7,1.09394,0.82151,1.31632,0.69345,0.56442,0.64716,0.32169,1.87919,1.27164,2.20175,0.0004358,0.0004358,0.0004358
160,5188.97,1.12798,0.85625,1.36775,0.69908,0.61287,0.69011,0.33576,1.84446,1.22061,2.17883,0.0004259,0.0004259,0.0004259
161,5221.19,1.07011,0.77536,1.31213,0.71388,0.59509,0.68584,0.35315,1.85919,1.203,2.20418,0.000416,0.000416,0.000416
162,5253.49,1.10258,0.83233,1.32662,0.7065,0.6055,0.69681,0.35697,1.81437,1.17743,2.14826,0.0004061,0.0004061,0.0004061
163,5285.95,1.08719,0.79048,1.3338,0.75924,0.52761,0.66325,0.32667,1.88474,1.26026,2.20951,0.0003962,0.0003962,0.0003962
164,5318.31,1.07797,0.80151,1.34893,0.73681,0.61831,0.68383,0.3423,1.8221,1.25487,2.15993,0.0003863,0.0003863,0.0003863
165,5350.78,1.11881,0.84058,1.3399,0.71608,0.60346,0.68068,0.33904,1.86295,1.26017,2.22416,0.0003764,0.0003764,0.0003764
166,5383.15,1.0883,0.80448,1.30537,0.69897,0.62577,0.68614,0.34454,1.82146,1.19285,2.16881,0.0003665,0.0003665,0.0003665
167,5415.52,1.06709,0.77456,1.33581,0.73418,0.62577,0.67776,0.3312,1.85077,1.21545,2.2087,0.0003566,0.0003566,0.0003566
168,5447.94,1.10939,0.79616,1.35755,0.74705,0.59509,0.67169,0.33873,1.86886,1.20749,2.21893,0.0003467,0.0003467,0.0003467
169,5480.27,1.05239,0.78399,1.29582,0.72273,0.59168,0.68765,0.35312,1.81742,1.16376,2.157,0.0003368,0.0003368,0.0003368
170,5512.58,1.11358,0.82536,1.34303,0.65946,0.65031,0.67474,0.34892,1.86515,1.20192,2.22373,0.0003269,0.0003269,0.0003269
